DATA START
Time	Rpm	SetRpm	Temp	Pump	State	THR	AUX	Batt	AirSpd	SetSpd	
620	103190	104000	539	4.53	11	0	0	11.47	0	0
621	104070	104000	554	4.54	11	0	0	11.45	0	0
622	104280	104000	569	4.52	11	0	0	11.44	0	0
623	104250	104000	578	4.51	11	0	0	11.42	0	0
624	104250	104000	584	4.49	11	0	0	11.41	0	0
625	104120	104000	588	4.49	11	0	0	11.41	0	0
626	104170	104000	591	4.47	11	0	0	11.40	0	0
627	104010	104000	593	4.47	11	0	0	11.39	0	0
628	104000	104000	594	4.47	11	0	0	11.39	0	0
629	104150	104000	594	4.46	11	0	0	11.38	0	0
630	104250	104000	594	4.44	11	0	0	11.38	0	0
631	104040	104000	592	4.43	11	0	0	11.38	0	0
632	104010	104000	592	4.44	11	0	0	11.38	0	0
633	103990	80000	592	3.62	11	0	0	11.38	0	0
634	90770	33000	588	1.69	11	0	0	11.39	0	0
635	68060	33000	554	1.23	11	0	0	11.41	0	0
636	55820	33000	509	0.95	11	0	0	11.42	0	0
637	47700	33000	479	0.85	11	0	0	11.44	0	0
638	38840	33000	461	0.75	11	0	0	11.45	0	0
639	33130	33000	450	0.82	11	0	0	11.46	0	0
640	30300	33000	446	0.89	11	0	0	11.47	0	0
641	29810	33000	455	0.92	11	0	0	11.48	0	0
642	30730	33000	476	0.92	11	0	0	11.48	0	0
643	31560	33000	497	0.92	11	0	0	11.49	0	0
644	31910	33000	514	0.92	11	0	0	11.49	0	0
645	31990	33000	523	0.92	11	0	0	11.49	0	0
646	31910	33000	526	0.93	11	0	0	11.50	0	0
647	32280	33000	528	0.93	11	0	0	11.50	0	0
648	32480	33000	530	0.93	11	0	0	11.50	0	0
649	32480	33000	532	0.93	11	0	0	11.50	0	0
650	32350	33000	533	0.94	11	0	0	11.51	0	0
651	32270	33000	533	0.94	11	0	0	11.51	0	0
652	32380	33000	533	0.95	11	0	0	11.51	0	0
653	32350	33000	534	0.95	11	0	0	11.51	0	0
654	32440	33000	535	0.95	11	0	0	11.51	0	0
655	32540	33000	535	0.95	11	0	0	11.51	0	0
656	32590	33000	536	0.96	11	0	0	11.51	0	0
657	32750	33000	537	0.96	11	0	0	11.51	0	0
658	33020	33000	538	0.95	11	0	0	11.51	0	0
659	32990	33000	537	0.95	11	0	0	11.51	0	0
660	32750	33000	535	0.96	11	0	0	11.51	0	0
661	32720	33000	535	0.96	11	0	0	11.51	0	0
662	32790	33000	536	0.96	11	0	0	11.51	0	0
663	32940	33000	537	0.96	11	0	0	11.51	0	0
664	32930	33000	538	0.96	11	0	0	11.51	0	0
665	32840	33000	538	0.96	11	0	0	11.51	0	0
666	32900	33000	538	0.96	11	0	0	11.51	0	0
667	32960	33000	538	0.96	11	0	0	11.52	0	0
668	33010	33000	539	0.96	11	0	0	11.52	0	0
669	33110	33000	539	0.96	11	0	0	11.52	0	0
670	33000	33000	539	0.96	11	0	0	11.52	0	0
671	32980	33000	538	0.96	11	0	0	11.52	0	0
672	33020	33000	537	0.96	11	0	0	11.52	0	0
673	33020	33000	538	0.96	11	0	0	11.52	0	0
674	33080	33000	538	0.96	11	0	0	11.52	0	0
675	32940	33000	538	0.96	11	0	0	11.52	0	0
676	32890	33000	538	0.96	11	0	0	11.52	0	0
677	33100	33000	538	0.96	11	0	0	11.52	0	0
678	32930	33000	538	0.96	11	0	0	11.52	0	0
679	33030	33000	538	0.96	11	0	0	11.52	0	0
680	33110	33000	538	0.95	11	0	0	11.52	0	0
681	32960	33000	538	0.96	11	0	0	11.52	0	0
682	33040	33000	537	0.96	11	0	0	11.52	0	0
683	33030	41000	537	0.98	11	0	0	11.52	0	0
684	33370	104000	537	1.21	11	0	0	11.52	0	0
685	36600	104000	542	1.34	11	0	0	11.52	0	0
686	41400	104000	556	1.45	11	0	0	11.52	0	0
687	47410	104000	570	1.64	11	0	0	11.52	0	0
688	56280	104000	579	1.88	11	0	0	11.52	0	0
689	67130	104000	578	2.31	11	0	0	11.52	0	0
690	78500	104000	563	2.89	11	0	0	11.51	0	0
691	89420	104000	544	3.50	11	0	0	11.51	0	0
692	97260	104000	530	4.56	11	0	0	11.49	0	0
693	103600	104000	536	4.58	11	0	0	11.47	0	0
694	104270	104000	554	4.56	11	0	0	11.45	0	0
695	104430	104000	571	4.53	11	0	0	11.44	0	0
696	104420	104000	582	4.51	11	0	0	11.42	0	0
697	104400	104000	588	4.48	11	0	0	11.41	0	0
698	104290	104000	591	4.46	11	0	0	11.41	0	0
699	104140	104000	592	4.45	11	0	0	11.40	0	0
700	103950	104000	592	4.45	11	0	0	11.40	0	0
701	104010	104000	592	4.45	11	0	0	11.39	0	0
702	104160	104000	593	4.45	11	0	0	11.39	0	0
703	104080	104000	593	4.44	11	0	0	11.38	0	0
704	104160	104000	592	4.43	11	0	0	11.38	0	0
705	104090	104000	591	4.42	11	0	0	11.38	0	0
706	103960	104000	591	4.43	11	0	0	11.38	0	0
707	104180	104000	591	4.42	11	0	0	11.38	0	0
708	104030	104000	591	4.41	11	0	0	11.38	0	0
709	104010	104000	591	4.41	11	0	0	11.37	0	0
